Id;Review;Golden
63;good!;Positive
66;learned a lot;Positive
66;learned a lot;Positive
66;he learned a lot .;Positive
66;i learned a lot .;Positive
66;i learned a lot .;Positive
69;works great just different from the one at michaels;Positive
69;works great just different from the one at michaels;Positive
69;works are very different from the one at michaels .;Positive
69;works different from the one at michaels .;Positive
69;so it 's different from the one at michaels .;Positive
69;it works great , but it 's different from the one in michaels .;Positive
69;i 'm sure it 's different from the one at michaels .;Positive
71;great for the basics;Positive
71;great for the basics;Positive
75;easy to follow lesson plan;Positive
75;easy to follow lesson plan;Positive
75;follow lesson plan .;Positive
77;great book for beginners;Positive
77;great book for beginners;Positive
77;it 's a great book for beginners .;Positive
77;great book for beginners .;Positive
77;i have a great book for beginners .;Positive
77;for beginners , it 's a great book .;Positive
78;basics are covered....beautiful book;Positive
78;basics are covered....beautiful book;Positive
80;perfect for beginners;Positive
80;perfect for beginners;Positive
80;it 's perfect for beginners .;Positive
80;i 'm perfect for beginners .;Positive
80;perfection for beginners .;Positive
80;perfect for beginners , and it 's perfect .;Positive
80;i 'm perfect for beginners .;Positive
80;for beginners , it 's perfect .;Positive
80;i 'm perfect for beginners , it 's perfect .;Positive
82;renew knowledge;Positive
82;renew knowledge;Positive
88;very good book for beginners;Positive
88;very good book for beginners;Positive
88;i do n't have good book for beginners .;Positive
88;good book for beginners .;Positive
88;i have a good book for beginners .;Positive
90;great book for beginners;Positive
90;great book for beginners;Positive
90;it 's a great book for beginners .;Positive
90;great book for beginners .;Positive
90;i have a great book for beginners .;Positive
90;for beginners , it 's a great book .;Positive
93;simple book but tons of info;Positive
93;simple book but tons of info;Positive
93;it 's a simple book but tons of information .;Positive
93;simple book but tons of information .;Positive
93;i have a simple book but tons of information .;Positive
93;in a simple book , it 's a lot of information .;Positive
94;not what i was expecting;Neutral
94;not what i was expecting;Neutral
100;decorating planner;Positive
100;decorating planner;Positive
100;decorating planner .;Positive
100;decorating planner .;Positive
100;i 'm decorating planner .;Positive
101;one of wiltons better books;Positive
101;one of wiltons better books;Positive
105;companion booklet for level 3 fondant & gum paste;Positive
105;companion booklet for level 3 fondant & gum paste;Positive
109;tore rather easily;Negative
109;tore rather easily;Negative
109;he tore rather easily .;Negative
109;tore rather easily .;Negative
109;i tore rather easily .;Negative
109;i tore rather easily .;Negative
109;easily he tore .;Negative
111;i love this bag.;Positive
111;i love this bag.;Positive
111;we love this bag .;Positive
111;love this bag .;Positive
113;love it but sides tear easily;Positive
113;love it but sides tear easily;Positive
113;love it but sides tear easily .;Positive
113;love it but sides easily .;Positive
118;spelling corrector;Positive
118;spelling corrector;Positive
118;spelling corrector .;Positive
118;spelling corrector .;Positive
119;can't live without it;Positive
119;can't live without it;Positive
119;let 's live without it .;Positive
120;sprelling only;Negative
120;sprelling only;Negative
120;sprelling only .;Negative
121;it's amazing (says my 8 year old!);Positive
121;it's amazing (says my 8 year old!);Positive
126;does the job;Positive
126;does the job;Positive
132;use to do crossword puzzles!;Positive
132;use to do crossword puzzles!;Positive
134;adjustable and functional;Positive
134;adjustable and functional;Positive
134;it is adjustable and functional .;Positive
134;adjustable and function .;Positive
134;i 'm adjustable and functional .;Positive
134;i 'm adjustable and functional .;Positive
135;great for law students;Positive
135;great for law students;Positive
136;it holds any book and turning pages is easy;Positive
136;it holds any book and turning pages is easy;Positive
138;must have for law student;Positive
138;must have for law student;Positive
139;it is basically just a coat hanger;Negative
139;it is basically just a coat hanger;Negative
139;is basically just a coat hanger .;Negative
139;it 's basically just a coat hanger , but it 's a coat hanger .;Negative
139;basically it 's a coat hanger .;Negative
147;good for certain things;Neutral
147;good for certain things;Neutral
147;it 's good for certain things .;Neutral
147;i 'm good for certain things .;Neutral
147;i 'm done for certain things .;Neutral
147;good for certain things , and it 's good .;Neutral
147;i 'm good for certain things .;Neutral
147;for certain things , it 's good .;Neutral
151;ugly and of poor quality;Negative
151;ugly and of poor quality;Negative
151;of poor quality , it 's ugly .;Negative
161;expensive but worth it!;Positive
161;expensive but worth it!;Positive
163;my favorite ice cube tray!!!;Positive
163;my favorite ice cube tray!!!;Positive
163;my favorite ice cube trayg !!! .;Positive
164;fantastic!;Positive
164;fantastic!;Positive
164;it 's fantastic .;Positive
165;ordered before, and now ordered some more;Positive
165;ordered before, and now ordered some more;Positive
165;he ordered now .;Positive
165;he ordered back , and he ordered some more .;Positive
166;good for storing baby puree;Positive
166;good for storing baby puree;Positive
166;it 's good for saving baby puree .;Positive
166;good for saving baby puree , but it 's good for saving baby puree .;Positive
168;use these mostly and glad i found them again;Positive
168;use these mostly and glad i found them again;Positive
168;why do n't you use them mostly and find them again ?;Positive
168;mostly we found them again .;Positive
169;too young to be talking about the good old days;Neutral
169;too young to be talking about the good old days;Neutral
169;it 's young to talk about the good old days .;Neutral
169;i 'm young to talk about the good old days .;Neutral
169;i want to talk about the good old days .;Neutral
169;i 'm young to talk about the good old days , and it 's hard to talk about the good old days .;Neutral
169;for the good old days , it 's enough to talk about the good old days .;Neutral
169;now you ca n't talk about the good old days .;Neutral
169;when you talk about the good old days , it 's too young .;Neutral
176;liked the product;Positive
176;liked the product;Positive
176;he liked the product .;Positive
176;he liked the product , but he liked the product .;Positive
176;i liked the product .;Positive
176;when you liked the product , they liked the product .;Positive
177;pill boxes good for;Positive
177;pill boxes good for;Positive
180;perfect size for the kids lunchboxes;Positive
180;perfect size for the kids lunchboxes;Positive
182;kathy from sc;Positive
182;kathy from sc;Positive
186;works great;Positive
186;works great;Positive
186;it works great .;Positive
186;work great .;Positive
193;you get what you pay for;Positive
193;you get what you pay for;Positive
193;you get what you pay for .;Positive
193;get what you pay for .;Positive
193;i 'll get what you pay for .;Positive
195;you get what you pay for;Negative
195;you get what you pay for;Negative
195;you get what you pay for .;Negative
195;get what you pay for .;Negative
195;i 'll get what you pay for .;Negative
198;toddler tumblers;Positive
198;toddler tumblers;Positive
198;toddler is tumbler .;Positive
198;toddler tumblers .;Positive
198;toddler tumblers .;Positive
206;awesome for kids;Positive
206;awesome for kids;Positive
210;beautiful and safe;Positive
210;beautiful and safe;Positive
210;it 's beautiful and safe .;Positive
210;i 'm beautiful and safe .;Positive
210;i 'm beautiful and safe .;Positive
211;really nice, replacements for lost ones;Positive
211;really nice, replacements for lost ones;Positive
212;too small for my needs but decent cupts;Positive
212;too small for my needs but decent cupts;Positive
212;too small for my needs , decent cupts .;Positive
212;i 'm waiting for my needs but decent cupts .;Positive
213;love them!;Positive
213;love them!;Positive
213;love them !;Positive
213;love them !;Positive
214;very durable, attractive plastic cups;Positive
214;very durable, attractive plastic cups;Positive
214;very good , attractive plastic cups .;Positive
214;where do you live , attractive plastic cups ?;Positive
215;cute but thin;Positive
215;cute but thin;Positive
216;more decoration than useful;Negative
216;more decoration than useful;Negative
216;there 's more decoration than useful .;Negative
216;more decoration than useful .;Negative
216;there 's more of a decoration , but it will be useful .;Negative
221;perfect for toddlers;Positive
221;perfect for toddlers;Positive
229;good, decent mini prep processor.;Positive
229;good, decent mini prep processor.;Positive
234;nowhere as nice as my original miniprep;Negative
234;nowhere as nice as my original miniprep;Negative
234;it 's nowhere nice like my original miniprep .;Negative
234;so it 's nice as my original minipreparation .;Negative
234;it 's nowhere nice , but it 's nice as my original minipreparation .;Negative
234;nowhere he was my original miniprep .;Negative
236;great for small tasks;Positive
236;great for small tasks;Positive
249;not made to the same standards as older devices;Neutral
249;not made to the same standards as older devices;Neutral
249;it is not made to the same standards as older devices .;Neutral
249;never made to the same standards as older devices .;Neutral
249;access to the same standards as older devices .;Neutral
249;i have come to the same standards as older devices .;Neutral
249;i have not applied to the same standards as older devices .;Neutral
249;where do n't we go to the same standards as older devices ?;Neutral
249;as older devices , it is limited to the same standards .;Neutral
249;therefore it did to the same standards as older devices .;Neutral
254;not as good as the large ones;Neutral
254;not as good as the large ones;Neutral
257;cry no more;Positive
257;cry no more;Positive
257;cry no more .;Positive
259;does most of the jobs of a larger unit except for slicing;Positive
259;does most of the jobs of a larger unit except for slicing;Positive
259;does most of the jobs of a larger unit .;Positive
259;i can do most of the jobs of a larger unit .;Positive
259;if it 's a problem , it 's most of the jobs of a larger unit .;Positive
263;love this little thing!;Positive
263;love this little thing!;Positive
263;love this little thing !;Positive
263;love this little thing !;Positive
263;i 'm loving this little thing .;Positive
263;i love this little thing !;Positive
263;how 's this little thing ?;Positive
263;when you love this little thing , you love this little thing !;Positive
265;litte dissapointed after the first use;Negative
265;litte dissapointed after the first use;Negative
265;litte dissability after the first use .;Negative
265;litte dissagged after the first use , and al was in the first place .;Negative
269;perfect tool for caregivers;Positive
269;perfect tool for caregivers;Positive
271;not perfect but still good;Positive
271;not perfect but still good;Positive
271;not perfect but good .;Positive
271;it 's not perfect , but it 's still good .;Positive
272;works great;Positive
272;works great;Positive
272;it works great .;Positive
272;work great .;Positive
276;good for small batches;Positive
276;good for small batches;Positive
276;it 's good for small batches .;Positive
276;i 'm good for small batches .;Positive
276;good for small batches , and it 's good .;Positive
276;i 'm good for small batches .;Positive
276;for small batches , it 's good .;Positive
278;ten minute's use requires fifteen minute's cleaning.;Neutral
278;ten minute's use requires fifteen minute's cleaning.;Neutral
278;ten minuteer 's use requires fifteen minuteer 's purity .;Neutral
278;if ten minuteer 's use requires fifteen minutea 's purity .;Neutral
278;in ten minutese , the solution requires fifteen minuteis 's purity .;Neutral
278;now ten minutese 's hand requires fifteen minuteer 's purity .;Neutral
282;love my little chopper!;Positive
282;love my little chopper!;Positive
287;does a terrible job of chopping if your looking for a good one;Negative
287;does a terrible job of chopping if your looking for a good one;Negative
287;for a good one , it 's a terrible job of chopping .;Negative
290;does the job;Neutral
290;does the job;Neutral
292;perfect for quick chopping of small amounts, easy to clean;Positive
292;perfect for quick chopping of small amounts, easy to clean;Positive
294;it is really small;Positive
294;it is really small;Positive
294;it 's really small .;Positive
294;is really small .;Positive
294;it 's really small , but it 's really small .;Positive
294;i 'm sure it 's really small .;Positive
296;always have been happy with it . . .;Positive
296;always have been happy with it . . .;Positive
296;i 've always been happy with it .;Positive
301;good for very fine, fast chopping;Neutral
301;good for very fine, fast chopping;Neutral
305;terrible!;Negative
305;terrible!;Negative
306;gave it one star because i am in a charitable mood;Negative
306;gave it one star because i am in a charitable mood;Negative
306;he gave him one star because they 're in a charitable mood .;Negative
306;give him one star because they 're in a charitable mood .;Negative
306;one star because they 're in a charitable mood .;Negative
306;he gave him one star , and you 're in a charitable mood .;Negative
306;i gave it because we 're in a charitable mood .;Negative
309;product made well;Positive
309;product made well;Positive
309;product made well .;Positive
309;product made well , and product was well .;Positive
309;well product did .;Positive
312;love my pink blender!;Positive
312;love my pink blender!;Positive
312;love my pink blender !;Positive
312;love my pink blender !;Positive
315;glass carafe, crushes ice and it's pink!;Positive
315;glass carafe, crushes ice and it's pink!;Positive
315;glass hair crushes ice and itis pinkass !;Positive
315;glass hair crushes ice , and it 's pinkoff !;Positive
316;i love pink;Positive
316;i love pink;Positive
317;if i could only give a negative star;Negative
317;if i could only give a negative star;Negative
317;it 's if i could only give a negative star .;Negative
317;lf i could only give a negative star .;Negative
317;if i could only give a negative star .;Negative
317;i think i could give a negative star , but i could give a negative star .;Negative
317;i could only give a negative star .;Negative
317;in case , i could give a negative star .;Negative
317;then i could give a negative star .;Negative
317;if i could only give a negative star , i could use a negative star .;Negative
323;horrible for ice crushing;Negative
323;horrible for ice crushing;Negative
325;blenders are task-specific;Positive
325;blenders are task-specific;Positive
325;blenders are task-specific .;Positive
325;that blenders are task-specific .;Positive
325;of course , blenders are task-specific .;Positive
325;sometimes blenders are task-specific .;Positive
328;recommended with reservations;Positive
328;recommended with reservations;Positive
328;it recommended with reservations .;Positive
328;recommended with reservations .;Positive
328;recommendation with reservations .;Positive
328;i 'm recommended for reservations .;Positive
328;therefore it recommended with reservations .;Positive
328;when you recommend with reservations , it is recommended by reservations .;Positive
330;love the pink love love love;Positive
330;love the pink love love love;Positive
330;the love love pink love is loved .;Positive
330;love the love pink love .;Positive
330;i love the love pink love .;Positive
333;at $40 they are still overpriced and all but worthless;Negative
333;at $40 they are still overpriced and all but worthless;Negative
333;at $ 40 , they are still overpriced , and they are worthless .;Negative
336;hit or miss...;Neutral
336;hit or miss...;Neutral
336;hit or miss .;Neutral
336;hit or missa .;Neutral
337;great coffee but a huge pain to clean!;Negative
337;great coffee but a huge pain to clean!;Negative
337;great coffee but great pain !;Negative
337;that great coffee but great pain to clean !;Negative
340;great product - great coffee..;Positive
340;great product - great coffee..;Positive
340;for coffee , it 's a great product .;Positive
340;i 'm great coffee , it 's a great product .;Positive
343;weak coffee, hard to clean, not durable;Negative
343;weak coffee, hard to clean, not durable;Negative
343;weak coffee , hard to clean .;Negative
346;cooling capability wears out fast;Negative
346;cooling capability wears out fast;Negative
347;an excellent maker for the value minded.;Positive
347;an excellent maker for the value minded.;Positive
347;an excellent creator for the minded valued .;Positive
347;i have an excellent creator for the minded .;Positive
348;fun for special occasions;Positive
348;fun for special occasions;Positive
348;fun for special occasions .;Positive
348;for special occasions , it 's funny .;Positive
348;when you 're on special occasions , it 's a fun for special occasions .;Positive
350;good for a first ice cream machine;Positive
350;good for a first ice cream machine;Positive
350;it 's good for the first ice machine .;Positive
350;i 'm good for the first ice machine .;Positive
350;good for the first ice cream , and it 's good for the first ice machine .;Positive
350;i 'm good for the first ice machine .;Positive
350;for the first ice cream , it 's good .;Positive
351;ice cream maker gives outstanding bang for the buck;Positive
351;ice cream maker gives outstanding bang for the buck;Positive
351;that ice cream maker makes delicious bang for a buck .;Positive
352;hard around the bowl;Negative
352;hard around the bowl;Negative
353;good product, bad price;Negative
353;good product, bad price;Negative
354;makes great vegan ice cream;Positive
354;makes great vegan ice cream;Positive
354;it makes great vegan ice cream .;Positive
354;makes great vegan ice cream .;Positive
354;makes vegan ice cream .;Positive
354;that makes great vegan ice cream .;Positive
358;this will be one of your favorite small appliances!;Positive
358;this will be one of your favorite small appliances!;Positive
358;this will be one of your favorite little things !;Positive
358;will be one of your favorite little things !;Positive
361;ice cream in a snap--buy no other!;Positive
361;ice cream in a snap--buy no other!;Positive
361;ice cream in a hole - buy no other !;Positive
362;so yummy!!!;Positive
362;so yummy!!!;Positive
362;so you yummy ?;Positive
362;i 'm yummy , it 's so yummy .;Positive
363;milk-based products ok, but doesn't work for sorbet;Negative
363;milk-based products ok, but doesn't work for sorbet;Negative
363;milk-based products , but it does n't work for sorbet .;Negative
363;it 's a milk-based product , but it does n't work for sorbet .;Negative
364;easy to use and makes great product!;Positive
364;easy to use and makes great product!;Positive
370;ice cream cookbook authors machine of choice;Positive
370;ice cream cookbook authors machine of choice;Positive
371;first-hand comparison of 3 ice cream maker models;Positive
371;first-hand comparison of 3 ice cream maker models;Positive
371;first hand of 3 ice cream models .;Positive
371;i 'm comparing the comparison of 3 ice cream models .;Positive
375;excellent all aspects - outstanding;Positive
375;excellent all aspects - outstanding;Positive
375;best all aspects are outstanding .;Positive
377;this ice cream maker is a gem;Positive
377;this ice cream maker is a gem;Positive
377;this ice cream maker is a gem .;Positive
377;get this ice cream maker .;Positive
377;this ice maker of a gem .;Positive
377;that ice cream maker is a gem .;Positive
377;this ice cream maker is a gem , and it 's a gem .;Positive
377;how is this ice cream maker ?;Positive
377;of course , this ice cream maker is a gem .;Positive
377;now this ice cream maker is a gem .;Positive
378;makes great ice-cream - follow these tips!;Positive
378;makes great ice-cream - follow these tips!;Positive
382;easiest ice cream ever;Positive
382;easiest ice cream ever;Positive
382;the easiest cream is ever .;Positive
382;i have the easiest ice cream .;Positive
384;easy ice cream, with some advance preparation;Positive
384;easy ice cream, with some advance preparation;Positive
384;it 's an ice cream , with an advance preparation .;Positive
384;relax ice cream with an advance preparation .;Positive
384;with an ice cream , it 's an advance preparation .;Positive
389;great and healthy device;Positive
389;great and healthy device;Positive
389;great and healthy device .;Positive
389;i have a great and healthy device .;Positive
391;almost 8 1/2 years old and going strong! great kefir & coconut milk ice cream!;Positive
391;almost 8 1/2 years old and going strong! great kefir & coconut milk ice cream!;Positive
395;paddle broke within 2 months;Neutral
395;paddle broke within 2 months;Neutral
395;paddle broke within two months .;Neutral
395;if paddle broke within two months .;Neutral
395;when did paddle break within two months ?;Neutral
395;within two months , paddle broke .;Neutral
395;then paddle broke within two months .;Neutral
395;when paddle broke within two months , paddle broke within two months .;Neutral
396;cute and easy!;Positive
396;cute and easy!;Positive
396;he 's cute and easyd !;Positive
397;i'm having too much fun with this little machine!!!!;Positive
397;i'm having too much fun with this little machine!!!!;Positive
397;we 're having too much fun with this little girl !;Positive
397;having too much fun with this little girl !;Positive
397;if you have too much fun with this little girl !;Positive
397;with this little girl , you 're having too much fun !;Positive
398;nothing but good;Positive
398;nothing but good;Positive
400;fun to have;Positive
400;fun to have;Positive
400;fun to have .;Positive
401;super-easy to use makes first-rate ice cream in a half-hour;Positive
401;super-easy to use makes first-rate ice cream in a half-hour;Positive
403;make sure your freezer is cold enough;Positive
403;make sure your freezer is cold enough;Positive
403;you make sure your freezer , and it 's cold .;Positive
405;good but could be better;Neutral
405;good but could be better;Neutral
405;it 's good , but it could be better .;Neutral
406;easy to use and easy to clean;Positive
406;easy to use and easy to clean;Positive
406;it 's easy to use and clean .;Positive
408;really good for the price;Positive
408;really good for the price;Positive
408;it 's really good for the price .;Positive
408;for the price , it 's really good .;Positive
409;love this ice cream machine;Positive
409;love this ice cream machine;Positive
409;love this ice cream machine .;Positive
409;i 'm loving this ice cream machine .;Positive
411;good for sobet, not for an ice cream;Neutral
411;good for sobet, not for an ice cream;Neutral
411;it 's good for sobeto , not for an ice cream .;Neutral
411;i 'm done for sobeto , not for an ice cream .;Neutral
411;i 'm good for sobeto , but it 's not for an ice cream .;Neutral
411;i 'm good for sobeto , not for an ice cream .;Neutral
411;maybe it 's for soap , not for an ice cream .;Neutral
415;too good for words;Positive
415;too good for words;Positive
415;it 's too good for words .;Positive
415;i 'm good for words .;Positive
415;i 'm good for words .;Positive
415;for words , it 's too good .;Positive
417;great for making sorbets and ice creams and easy to clean.;Positive
417;great for making sorbets and ice creams and easy to clean.;Positive
417;september for making sorrows and ice creams are easy to clean ones .;Positive
417;mr. for making sorrows and ice creams will be cleaned , and they 'll be clean .;Positive
423;very easy to make and clean up. much cheaper at costco;Positive
423;very easy to make and clean up. much cheaper at costco;Positive
424;this works like a charm;Positive
424;this works like a charm;Positive
424;this works like a charm .;Positive
424;which works like a charm .;Positive
424;this works like a charm , but this works like a charm .;Positive
424;as a charm , this works like a charm .;Positive
424;now this works like a charm .;Positive
426;makes delicious ice cream;Positive
426;makes delicious ice cream;Positive
426;it makes delicious ice cream .;Positive
426;makes delicious ice cream .;Positive
426;makes delicious ice .;Positive
426;that makes delicious ice cream .;Positive
426;maybe it 's delicious ice cream .;Positive
427;takes longer than expected;Negative
427;takes longer than expected;Negative
427;it takes longer than expected .;Negative
427;takes longer than expected .;Negative
427;that takes longer than expected .;Negative
431;the best, the easiest, buy it;Positive
431;the best, the easiest, buy it;Positive
431;the bestist , the least , buy it .;Positive
431;the bestman , the easiest , the buy .;Positive
432;i never cared much for ice cream until i stupidly bought this machine;Positive
432;i never cared much for ice cream until i stupidly bought this machine;Positive
432;it was never cared for ice cream until we stupidly bought this machine .;Positive
432;never cared for ice cream until we stupidly bought this machine .;Positive
432;a lot of ice cream until we stupidly bought this machine .;Positive
432;why did n't you care about ice cream until we stupidly bought this machine ?;Positive
432;never it was much for ice cream until we bought this machine .;Positive
433;a very worthwhile little appliance!;Positive
433;a very worthwhile little appliance!;Positive
440;excellent and easy ice cream machine!;Positive
440;excellent and easy ice cream machine!;Positive
441;makes great ice cream, but motor has problems;Neutral
441;makes great ice cream, but motor has problems;Neutral
441;it makes great ice cream , but motor has problems .;Neutral
441;makes great ice cream but motor problems .;Neutral
441;that makes great ice cream but motor problems .;Neutral
441;it makes great ice cream , but motor has problems .;Neutral
441;then it makes great ice cream , but motor has problems .;Neutral
441;if it makes great ice cream , motor has problems .;Neutral
444;a standout in ice cream class;Positive
444;a standout in ice cream class;Positive
444;it 's a class in june ice cream .;Positive
444;it 's a class in june ice , and it 's a class of al cream .;Positive
446;simple to use, yummy ice cream;Positive
446;simple to use, yummy ice cream;Positive
448;wow, cool and easy!!;Positive
448;wow, cool and easy!!;Positive
450;better than other brands we've tried & great for dairy free ice cream too!;Positive
450;better than other brands we've tried & great for dairy free ice cream too!;Positive
450;i 'm better than other brands we 've tried and great .;Positive
450;more beautiful brands we have tried and great for dairy free ice !;Positive
450;you 're more beautiful than other brands , and they 're great for dairy free ice cream !;Positive
451;so easy to use;Positive
451;so easy to use;Positive
451;it 's so easy to use .;Positive
452;makes luscious strawberry sorbet;Positive
452;makes luscious strawberry sorbet;Positive
452;it makes luscious strawberry sorbet .;Positive
452;makes luscious strawberry sorbet .;Positive
452;makes luscious strawberry .;Positive
452;that makes luscious strawberry sorbet .;Positive
452;it makes luscious strawberry , and it makes luscious strawberry .;Positive
452;i have luscious strawberry sorbet .;Positive
452;why is luscious strawberry sorbet ?;Positive
452;of course , it 's luscious strawberry sorbet .;Positive
452;now it 's luscious strawberry sorbet .;Positive
453;"if you want junk, buy this cuisinart ice cream ""maker""";Negative
453;"if you want junk, buy this cuisinart ice cream ""maker""";Negative
453;if you want junkone , buy this mr. ice cream .;Negative
455;2 is better than 1;Positive
455;2 is better than 1;Positive
455;2 is better than 1 .;Positive
455;two is better than 1 , and one is better than 1 .;Positive
456;makes dreams come true;Positive
456;makes dreams come true;Positive
456;dreams come true .;Positive
456;makes dreams come true .;Positive
457;ice cream rocks my socks;Positive
457;ice cream rocks my socks;Positive
457;ice cream is my socks .;Positive
457;ice cream socks .;Positive
459;great for the price once you know how to use it;Positive
459;great for the price once you know how to use it;Positive
459;thank for the price once you know how to use it .;Positive
459;when for the price you know how to use it .;Positive
459;for the price , you know how to use it .;Positive
464;the ice cream maker makes clunky noises and doesn't always work correctly;Neutral
464;the ice cream maker makes clunky noises and doesn't always work correctly;Neutral
464;the ice cream maker makes clunky noises and does n't always work properly .;Neutral
464;the ice cream maker sounds and does n't always work properly .;Neutral
464;the ice cream maker makes clunky noises , and it does n't always work properly .;Neutral
464;how does the ice cream make clunky noises and do n't always work properly ?;Neutral
464;of course , the ice cream maker makes clunky noises and does n't always work properly .;Neutral
464;then the ice cream maker makes clunky noises and does n't always work properly .;Neutral
464;that the ice cream maker makes clunky noises , it does n't always work properly .;Neutral
466;very easy to use & clean - fabulous product!;Positive
466;very easy to use & clean - fabulous product!;Positive
467;lots of fun and extremely versatile;Positive
467;lots of fun and extremely versatile;Positive
467;it 's like fun , and it 's extremely versatile .;Positive
468;great ice-cream maker for beginners and kitchen pros.;Positive
468;great ice-cream maker for beginners and kitchen pros.;Positive
468;it 's a great ice-cream maker for beginners and kitchen pros .;Positive
468;doing great ice-cream for beginners and kitchen pros .;Positive
468;great ice-cream maker for beginners and kitchen pros .;Positive
468;which is a great maker for beginners and kitchen pros .;Positive
468;i 'm a great maker for beginners and kitchen pros .;Positive
468;for beginners and kitchen plants , it 's a great ice-cream .;Positive
468;there he is a great maker for beginners and kitchen pros .;Positive
468;when you do , it 's a great ice-cream maker for beginners and kitchen pros .;Positive
471;excellent ice cream maker for two;Positive
471;excellent ice cream maker for two;Positive
471;excellent ice cream for two .;Positive
473;this ice cream maker is fantastic!;Positive
473;this ice cream maker is fantastic!;Positive
473;this ice cream maker is fantastic !;Positive
473;i think this ice cream maker is fantastic !;Positive
473;the maker of ice cream 's fantastic !;Positive
473;that ice cream maker is fantastic !;Positive
473;of course , this ice cream maker is fantastic !;Positive
474;very easy to operate, easy to clean, makes great ice cream!;Positive
474;very easy to operate, easy to clean, makes great ice cream!;Positive
475;does a great job for little effort;Positive
475;does a great job for little effort;Positive
475;it 's a great job for little effort .;Positive
475;does a great job for little effort .;Positive
475;works a great job for little effort .;Positive
475;that does a great job for little effort .;Positive
475;i have a great job for little effort .;Positive
475;for example , it 's a great job for little effort .;Positive
475;now it 's a great job for little effort .;Positive
475;if it 's a good job , it 's a great job for little effort .;Positive
477;the only thing better than ice cream;Positive
477;the only thing better than ice cream;Positive
477;the only thing is better than ice cream .;Positive
477;beats the only thing better than ice cream .;Positive
477;the only thing better than ice cream .;Positive
477;that only thing better than ice cream .;Positive
477;it 's the only thing , but it 's better than ice cream .;Positive
477;for the only thing , it 's better than ice cream .;Positive
477;only it 's better than ice cream .;Positive
480;unexpensive ice cream maker.;Positive
480;unexpensive ice cream maker.;Positive
483;make your own premium ice cream;Positive
483;make your own premium ice cream;Positive
483;make your own ice cream .;Positive
