ID,Comments,Comment ID,Reply count,Like count,Published at
86,https://youtu.be/i8OJ-VLjVes обстановка в Харькове,UgysIIhmdaOB50fveFh4AaABAg,0,0,2022-02-27T05:34:11Z
87,"Putin's name fits him well, he talks like a woman putin (passing gas) And if we, the USA, had a president that had a pair of balls instead of a crack between his legs it would have never even gotten this far! We need Trump back!!!!!!!",UgxhaR6PA2laed_YsTR4AaABAg,0,0,2022-02-27T05:32:48Z
88,"WOJSKA ROSYJSKIE PUTINA TO SAMI ALKOCHOLICY NARKOMANI I BANDA PSYCHOLI TAKICH JAK PUTIN MOSKAL, JEST JUŻ SKOŃCZONY NAWET ROSJANIE MAJĄ GO JUŻ DOSYĆ TEGO ZBRODNIARZA DZIECI",Ugzj4epkF0cCKPf5krN4AaABAg,0,0,2022-02-27T05:32:19Z
89,It’s Kiev ya dog.,UgwRJF6ti6SESyfaeox4AaABAg,0,0,2022-02-27T05:31:42Z
90,Stay strong Ukraine God protecting you,Ugyaet2ye7lnvtUzeMh4AaABAg,0,0,2022-02-27T05:30:13Z
91,American president it's only  talking and doing nothing to help. Pathetic old guy.,UgzZMuxwB5ABsBrqMtB4AaABAg,0,1,2022-02-27T05:29:09Z
92,Omg this is terrible nato needs to step in including USA,Ugx7eqFTiLpCHZMBKLR4AaABAg,0,0,2022-02-27T05:27:39Z
93,Now this is 100% true,Ugx13p1PgtJT1-DyX-54AaABAg,0,0,2022-02-27T05:27:05Z
94,"Ukrainians have deceived by Western and US at their own interest like they did in many countries ! U now receiving heavy rain of missiles destroying properties,losing ur families and friends,yet they’re just enjoying it on TVs through their medias . Imagine all western and US medias are in Kiev following war step by step reporting  sometime wrong accordingly (best liars ) instead of sending military support while president lozensky is calling civilians and retired soldiers to join a war fighting against  well trained ,well equipped and prepared soldiers  (Russians).think about that carefully if not u,re going to be like Libya,Syria,Afg,Iraq etc..",UgyGQFZrjKeq5Ew3eCV4AaABAg,0,0,2022-02-27T05:24:20Z
95,Good Russia,UgyMadp5ne5kUoiH_lV4AaABAg,0,0,2022-02-27T05:23:03Z
96,why is it that powerful countries invade weak ones but chicken out when they face their match... fcuk em,UgyxdCdGnBbBJgsonHJ4AaABAg,0,0,2022-02-27T05:20:39Z
97,This war needs to stop. Feeling won't help these people. Stern action has to be taken immediately to stop this barbaric act. All the world leaders must stop this.,UgzKO8jjCBxvWhi2CNZ4AaABAg,0,0,2022-02-27T05:18:21Z
98,"SOS, Российские войска будут применять межконтинентальные ракеты:
https://www.youtube.com/watch?v=hbowI7kY2e0
https://www.youtube.com/watch?v=s3qlg5Dzq-k",UgwxWXNHERgDDyKt3wB4AaABAg,0,0,2022-02-27T05:18:05Z
99,"there is no difference between Putin in Ukraine or Obama and that smelly wife of his or msnbc abc CBS cnn Sirius Washington post new york times hillary comey lynch Schumer Pelosi nadler schiff destroying America today, absolutely no difference,  your the real terrorists",Ugzj9TfXKj8KrLClqCt4AaABAg,0,0,2022-02-27T05:16:45Z
100,Omg what a hell is going in  Ukrainian president talks to talk on table before going bad as per my aspect….,UgxPds97pcWXPMMyZ594AaABAg,0,1,2022-02-27T05:15:38Z
101,If you're gonna commit war crimes why not if front of the camera so you can be famous #Russianpyscho.,Ugy7eXyJEiK5leP5WLh4AaABAg,0,0,2022-02-27T05:14:52Z
102,"Building in fire, that is СБУ (like Ukrainian KGB), in fire because they destroying documents, and finaly building.
No russian soldiers there.",Ugw7YUdcpA8NeY-Zzcx4AaABAg,0,0,2022-02-27T05:11:41Z
103,"Lesson learnt.
Never trust Americans and EU. None coming for your aid, always fight your own wars.",Ugx5Ojcx-jFvhfETOV94AaABAg,0,0,2022-02-27T05:10:57Z
104,He's another Hitler,UgwNQW4-xefdaV9KrHx4AaABAg,0,0,2022-02-27T05:10:43Z
105,"Pretty smart, too bad the guy wasn't a suicide bomber, Russians would have lost 1 vehicle and crew. Strangest way to show brotherly love. I wonder if they won any hearts and minds with that jack ass move.",UgxnHfegarUiyvTzqoB4AaABAg,0,0,2022-02-27T05:10:43Z
106,Remember when the Russians starved 12 million Ukrainians to death and we allied ourselves with them anyway? How's that been working out?,UgwfAfvFyEEt0keej9p4AaABAg,0,0,2022-02-27T05:10:29Z
107,"I swear if the Russians enter Poland or Turkey and kill more innocent people, there will be major consequences for Putin! I have family in Poland and Turkey!!",UgzxR4200a4KkPxC0JJ4AaABAg,0,0,2022-02-27T05:09:44Z
108,how heartless putin is,UgzfmUqoSMr9rmQi3-B4AaABAg,1,0,2022-02-27T05:06:26Z
109,"To kill a snake, you have to go after the head.  Send fighters inside Russia after the genius of the evil.   Lord send your fighter angels to bind Putin and his inside supporters. Find fighter angels inside Russia who will take them down.   Putin is like a rotten tooth, he needs to be pulled.  Shall millions suffer for this one man.",Ugxh2_g7R3Ggd94fN814AaABAg,1,0,2022-02-27T05:06:05Z
110,"world is asking about ukraine now so this is how it feeels dont the world have about palestanians ,kashmirirs ,afghanis libyan seryan 😠😠😠😭😭😭",UgxJ3k0nbXrt67W0PiB4AaABAg,0,0,2022-02-27T05:05:36Z
111,"you americans create a commotion between ukraine and russia, and now you announce russia looks evil for what they doing now?",UgwDw7kd4Fwq75qNtYh4AaABAg,0,0,2022-02-27T05:04:55Z
112,"TO ANYONE THAT IS CURRENTLY IN OR FROM UKRAINE READING THIS: 

PLEASE REPLY AND LET EVERYONE READING KNOW IF THE MEDIA IS  ACCURATELY/TRUTHFULLY COVERING THE SITUATION IN UKRAINE... 

IF NOT, PLEASE LET THE GENERAL PUBLIC KNOW WHAT IS INCORRECT, WHAT IS REALLY HAPPENING, AND WHICH MEDIA NETWORK(S) ARE BEING DISHONEST ON THE SITUATION.

Help hold our mainstream media accountable at any time they fail to be honest, instigate, purposely change the facts in order to cause public controversy, or purposely attempt to disturb domestic/international/racial relations...  
May peace be with you.

Do your part for the Ukrainians by commenting this or something similar om other reports to expose any misinformation from the media",UgzFBbd-fp3RsjnnqcZ4AaABAg,0,0,2022-02-27T05:04:47Z
113,How is the Ukrainian President defiant? He is patriotic and men are allowed to fight for their fucking country!,Ugw8ACg_wNHD_RKPf514AaABAg,0,0,2022-02-27T05:03:48Z
114,https://www.youtube.com/watch?v=6lzaPqKf2zs&t=26s,UgwYxlSSIz0T48CEQo14AaABAg,0,0,2022-02-27T05:02:49Z
115,"In Ukraine, the US military found chemical weapons from Iraq.",Ugwo9KRwN4RQYXN0Pa14AaABAg,0,0,2022-02-27T05:02:18Z
116,"Wait, it’s belief city limit? Which mean not in city yet, so it’s Ukraine tank that ran over Ukraine civilians 🤔",UgyeXQ4SJzNvhlSkGjh4AaABAg,0,0,2022-02-27T05:00:11Z
117,"""The world needs a free and sovereign Ukraine"" - I'm sure everyone will support this message, but the problem is not that one or the other is neglecting it. The problem is that you are thinking about this a couple of decades later than necessary. 
 Western efforts, funding, and manipulation of public opinion began to divide Ukrainian society as well as the country as a whole. It never occurred to anyone that as a result of all this, everything would come to a standstill, that one side or the other would violate the interests and security of others, that Ukraine could not enter the NATO Alliance by mutual consent of all interested parties, the West is responsible for the fact that it initially chose this outcome of events.
 Ukraine is, to put it mildly, very far from politics, a ""country of moods"", a mood that is set for it from the outside. What kind of mood will the country be in when it is torn apart... In what way will the weapons provided be used... clearly not for peaceful purposes. So the phrase ""I don't believe this war is in your name"" 
is absolutely true. If you are interested in resolving the conflict then somehow convey to this ""man of sentiment"" that he is not in a movie and there are no actors around, many families will not see, it is necessary to negotiate in person and the moment has already been missed, when the situation allowed to bend the line, probing the limits of what is permissible. 

 Ukraine has never been politically free. The endless adaptation to changing political regimes ruined the sense of responsibility. Free people have been brought up from the outside - whatever they are told they want. But civilians want to be sure of tomorrow - in Ukraine, in the DNR and LNR, and in the Russian Federation. Everyone is well aware that the consequences will affect everyone, regardless of what country and what social status they come from. They call them diplomats, people who are responsible for smoothing things over. There is no clear line in the world between right and wrong. From YOU from ""POLITICIANS"" in general, the whole threat comes, where the responsibility of one ends, the responsibility of the other begins.

Don't demand, don't force, don't provoke!!! NEGOTIATE. Otherwise, the world does not need Politicians in principle.

Translated with www.DeepL.com/Translator (free version)",UgzTlczkhuidB7JZJ_d4AaABAg,0,0,2022-02-27T04:59:54Z
118,fk europe and US,Ugyd1rnPT0d0P6G27K54AaABAg,0,0,2022-02-27T04:59:30Z
119,Deeeeeeeeep state is running scared !!!!,UgxCHVM95bb7O9dbm_Z4AaABAg,0,0,2022-02-27T04:59:24Z
120,So sad how a holocaust survivor is facing war I mean she survived something so cruel and lived through a world war just to maybe see another one isn’t that just crazy if there is a 3rd war she would have seen 2 in her lifetime of about 104 years,UgxdCZBfUa0yJv9LrPl4AaABAg,0,0,2022-02-27T04:58:32Z
121,Russia's gone and ruthlessly took both innocent lives and undisputed Ukrainian territory. They will face the global consequences and the people will stand with Ukraine till the very end! 🇺🇦,UgzW63LbqCyBJCT8UAp4AaABAg,1,0,2022-02-27T04:57:42Z
122,Godaaaaaaamnnn!!!!!!,UgxyMMyj590oV3WLGFV4AaABAg,0,0,2022-02-27T04:57:40Z
123,"President Putin ,devil heart😡",Ugy77tmB2MOETnE8DNd4AaABAg,1,0,2022-02-27T04:56:36Z
124,Why did that tank crush that car ???,UgwE1ed9sEsW_0k28sh4AaABAg,0,0,2022-02-27T04:56:33Z
125,Stay strong Ukraine 🇺🇦,UgwwauqDebJ358Tigox4AaABAg,0,0,2022-02-27T04:56:16Z
126,fake.always fake.and you guys really believe it.its crazy,UgzYCQcOfsD1SSPXeCR4AaABAg,0,0,2022-02-27T04:52:33Z
127,Putin was right about NATO if Ukrainian joined nato that would be the end of Russia,UgzNZNrUYm47D2k6F9N4AaABAg,1,0,2022-02-27T04:51:11Z
128,Bye Ukraine. 🤣🤣🤣🤣🤣🤣,UgwdyXaZEWv4cZC_Czd4AaABAg,0,0,2022-02-27T04:48:44Z
129,Brainwashing news! Most of you can’t show Ukraine on the map!,UgxRFBlNYebrjgbdkPd4AaABAg,0,0,2022-02-27T04:48:43Z
130,Russia won't get away with this!,UgwQf9ICPkWCUCkAFmJ4AaABAg,1,0,2022-02-27T04:48:00Z
131,"Keep your eyes on the sky they are coming, I’m Francewall mortaries.",Ugx8_qLVzoMQ7usb_mJ4AaABAg,0,0,2022-02-27T04:47:57Z
132,"Father God stop this war in Jesus name Amen,4rm RSA",UgyD1JK7fIGPM95iAzB4AaABAg,0,0,2022-02-27T04:45:22Z
133,#killputin#killputin,UgxIoytUkhsdP7HU6px4AaABAg,1,0,2022-02-27T04:45:10Z
134,Ukraine,UgxIn4PzK-swCeCDJL94AaABAg,0,0,2022-02-27T04:44:32Z
135,SENDING LOVE AND PRAYERS AND A SHEILD OF PROTECTION TO ALL OF YOU,UgzM1TwClLwLN7WeGuh4AaABAg,0,0,2022-02-27T04:43:23Z
136,NATO needs to do their jobs and fight back against Russia,UgyTmDKmDhif8hAFIUR4AaABAg,2,0,2022-02-27T04:40:49Z
137,"Are we 🇺🇸 supposed to care when we have over 10% inflation, high costs for gas, Mexico 🇲🇽 border crisis, botched withdrawal from Afghanistan 🇦🇫, get the death ☠️ cerveza 🍺 💉 or lose your job?!!! Nayyyyyyyyy! Could care less!!!!

FTP F@ck that President Biden
FTP F@ck that Putin
FTP F@ck the politicians
FTP F@ck the police 
FTP F@ck the press who are Marxist terrorists",UgwE2-vvHsdYA7dQyzh4AaABAg,0,0,2022-02-27T04:39:05Z
138,White on white crime 😵‍💫,UgyFK4xdoTjQzddWfVd4AaABAg,0,0,2022-02-27T04:37:57Z
139,😓😓😓 how Palestinians are facing the war from 20 years without any coverage,Ugzoh5S0-l-I9P_x62F4AaABAg,0,0,2022-02-27T04:37:28Z
140,Protect Ukraine for Peace,Ugy3XdozdFjSXeZ6oRV4AaABAg,0,0,2022-02-27T04:35:10Z
141,duty of the people of the world should protect Ukraine,UgxNd2xhk5laxZjdMyF4AaABAg,0,0,2022-02-27T04:34:25Z
142,Everyone will be held accountable. The Ukrainians gave up their nuclear capabilities because they promised their security and freedom,UgyoojV1j-cLpkUHcLV4AaABAg,0,0,2022-02-27T04:33:34Z
143,We should help Ukraine.........,Ugyln_U1VWORh71m2nR4AaABAg,0,0,2022-02-27T04:33:25Z
144,"Why not stopping all these useless wars
Let each country mind it's own business.
Love one another thats it simple
Why making things the difficult way",Ugy_QUdOtn-YV8H0XTB4AaABAg,0,0,2022-02-27T04:32:22Z
145,This feels like it is the beginning of the end for us. Once others get involved we are all screwed..,UgyVVFV4OjnY2X-u2-R4AaABAg,0,0,2022-02-27T04:28:52Z
